# Session 20 fashion/fitness-model Wikidata continuation (2026-09-06). selection audit (generated 2026-09-06).
# entryId	qid	name	dob	age	occ	handles	referenceUrls	wiki	flags
W-2026-1473	Q112228622	Ivana Batchelor	2000-10-28	25	model	Instagram:ivana.batch	-	https://en.wikipedia.org/wiki/Ivana_Batchelor	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1474	Q112246603	Adinda Cresheilla	1998-01-29	28	model	Instagram:dindacresheilla;TikTok:adindacresheilla	-	https://en.wikipedia.org/wiki/Adinda_Cresheilla	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1475	Q112247624	Gwendolyne Fourniol	2000-01-01	26	model	Instagram:gwendolynefourniol	-	https://en.wikipedia.org/wiki/Gwendolyne_Fourniol	AGE_EVIDENCE_WIKIPEDIA_ONLY,DOB_JAN1_POSSIBLE_YEAR_PRECISION
W-2026-1476	Q112259269	Divyansha Kaushik	1997-02-10	29	model	Instagram:divyanshak	https://allwikibiography.in/divyansha-kaushik/	https://en.wikipedia.org/wiki/Divyansha_Kaushik	-
W-2026-1477	Q112320813	Chioma Umeala	1996-07-17	30	model	Instagram:chioma_umeala	https://www.safrolebs.com/blog/celebs/biographies/chioma-antoinette-umeala-biography-age-career-nationality-husband/	https://en.wikipedia.org/wiki/Chioma_Umeala	-
W-2026-1478	Q112576779	Abby Berner	2001-07-09	25	fitness model	Instagram:abbyberner;TikTok:abbyberner	https://www.famousbirthdays.com/people/abby-berner.html	-	-
W-2026-1479	Q112577040	Alessia Rovegno	1998-01-20	28	model	Instagram:alessiarovegno	https://eltiempo.pe/alessia-rovegno-en-certamen-miss-peru-2022-signo-quien-es-edad-biografia-altura-y-de-donde-es-la-hija-de-barbara-cayo-lr/	https://en.wikipedia.org/wiki/Alessia_Rovegno	-
W-2026-1480	Q112596698	Manita Hang	1998-09-07	27	model	Instagram:nita_hang	-	https://en.wikipedia.org/wiki/Manita_Hang	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1481	Q112608776	Magda Swider	1992-12-23	33	model	Instagram:magdaswider_official;TikTok:magdamodel	https://nsbb.in/2022/02/16/magda-swider-biography-model-wiki-age-boyfriend-family-facts/	-	-
W-2026-1482	Q112655805	Kiara Barnes	1995-06-20	31	model	Instagram:kiarabarnesofficial	-	https://en.wikipedia.org/wiki/Kiara_Barnes	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1483	Q112657797	Amparo Piñero	1997-12-13	28	model	Instagram:amparopinnero;TikTok:amparopinnero	https://www.cine.com/actores/amparo-pinero	https://en.wikipedia.org/wiki/Amparo_Piñero	-
W-2026-1484	Q112662332	Karoline Lima	1996-03-27	30	model	Instagram:karolinel;TikTok:akarolinelima	https://www.uol.com.br/splash/noticias/2021/12/29/karoline-lima-conta-sexo-e-nome-do-bebe-que-tera-com-eder-militao.htm	-	-
W-2026-1485	Q112670270	Rebeca Alemañy	1990-07-15	36	model	Instagram:alemanyrebeca	https://www.rebeca-alemany.com	-	-
W-2026-1486	Q112695032	Aubri Ibrag	2001-08-21	25	model	Instagram:aubribrag;TikTok:aubribrag	-	https://en.wikipedia.org/wiki/Aubri_Ibrag	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1487	Q112790023	Sofía Depassier	1998-03-04	28	model	Instagram:sofiadepassier	-	https://en.wikipedia.org/wiki/Sofia_Depassier	AGE_EVIDENCE_WIKIPEDIA_ONLY,NAME_ALIAS_IN_WIKIPEDIA
W-2026-1488	Q112795440	Irma Miranda	1996-08-15	30	model	Instagram:irmamirandav	-	https://en.wikipedia.org/wiki/Irma_Miranda	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1489	Q112892984	Rachel Pizzolato	2004-01-19	22	fashion model	Instagram:beautyandbrainswithatwist;TikTok:Rachel_Pizzolato	-	https://en.wikipedia.org/wiki/Rachel_Pizzolato	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1490	Q112966329	Rebecca Patricia Armstrong	2002-12-05	23	model	Instagram:beccca;TikTok:beckyarmstrong	-	https://en.wikipedia.org/wiki/Becky_Armstrong	AGE_EVIDENCE_WIKIPEDIA_ONLY,NAME_ALIAS_IN_WIKIPEDIA
W-2026-1491	Q112966330	Sarocha Chankimha	1998-08-08	28	model	Instagram:srchafreen;TikTok:srchafreen	-	https://en.wikipedia.org/wiki/Sarocha_Chankimha	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1492	Q113027169	Amika Shail	1992-11-12	33	model	Instagram:amikashail	-	https://en.wikipedia.org/wiki/Amika_Shail	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1493	Q113033044	Selin Genç	1994-06-21	32	model	Instagram:seliinngenc	https://www.biyografi.biz/selin-genc-kimdir-aslen-nereli-2203/	https://en.wikipedia.org/wiki/Selin_Genç	-
W-2026-1494	Q113042194	Anna Kamezawa	1991-10-05	34	model	Instagram:anna.kamezawa;TikTok:anna.kamezawa	https://www.zent-sweeties.jp/anna-kamezawa/	-	-
