# Session 13 selection audit — every promoted entry with its evidence links (generated 2026-09-06).
# entryId	qid	group	name	dob	age	country	handles	dobSources	referenceUrls	teams
W-2026-315	Q139392885	ncaa	Zdenka Hvozdová	2004-02-24	22	United States	Instagram:zdenkahvozdova_	Volleybox;FIVB database	-	Dodge City Conquistadors women's volleyball
W-2026-316	Q130170463	ncaa	Athina Dimitriadis	2000-06-23	26	United States	Instagram:athi_dimi;TikTok:athidimi	WorldofVolley;VBL database;Volleybox;FIVB database	https://www.cev.eu/team/13770-ao-thiras/player/67683-dimitriadis-athina	FIU Panthers women's beach volleyball;FIU Panthers women's volleyball;Hofstra Pride women's volleyball;New Mexico Lobos women's volleyball
W-2026-317	Q135472462	ncaa	Anna Dixon	2000-08-21	26	United States	Instagram:annadixon	Volleybox;FIVB database	https://floridagators.com/sports/womens-volleyball/roster/anna-dixon/16122;https://mutigers.com/sports/womens-volleyball/roster/anna-dixon/13496;https://www.kstatesports.com/sports/womens-volleyball/roster/anna-dixon/6914	Florida Gators women's volleyball;Kansas State Wildcats women's volleyball;Missouri Tigers women's volleyball
W-2026-318	Q136298369	ncaa	Isabel Martin	2000-12-14	25	United States	Instagram:isabel_martin	VBL database;Volleybox;FIVB database	-	Florida Gators women's volleyball;Hillsborough Lady Hawks volleyball;UNLV Rebels women's volleyball
W-2026-319	Q124425023	ncaa	Nina Boledovičová	2004-05-16	22	United States	Instagram:nina.boledovic	Volleybox;Slovak Olympic Committee database	https://vcuathletics.com/sports/womens-volleyball/roster/nina-boledovicova/6469;https://www.fswbucs.com/sports/wvball/2023-24/bios/boledovicova_nina_rjxw	Florida SouthWestern Buccaneers women's volleyball;VCU Rams women's volleyball
W-2026-320	Q130241559	ncaa	Emma Clothier	2001-01-19	25	United States	Instagram:emmaclothier;X:ClothierEmma	Volleybox;FIVB database	https://seminoles.com/sports/womens-volleyball/roster/emma-clothier/5964	Florida State Seminoles women's volleyball;SMU Mustangs women's volleyball
W-2026-321	Q135048995	ncaa	Kacie Evans	2001-02-17	25	United States	Instagram:kacieevans_;X:kacieevans_	Volleybox	-	Georgia Bulldogs women's volleyball
W-2026-322	Q139679776	ncaa	Phoebe Awoleye	2002-06-16	24	United States	Instagram:phoebe.awoleye	Volleybox	https://www.fivb.com/players/players-database/player/227723	Georgia Bulldogs women's volleyball;Loyola Marymount Lions women's volleyball;Minnesota Golden Gophers women's volleyball
W-2026-323	Q135466615	ncaa	Bianca Bertolino	2002-07-04	24	United States	Instagram:biancabertolino_;X:BiancaBertolin0	Volleybox	-	Georgia Tech Yellow Jackets women's volleyball
W-2026-324	Q108324192	ncaa	Hanna Hellvig	2000-02-03	26	United States	Instagram:hannahellvig	-	https://eurovolley.cev.eu/en/match-centres/2021/women/wb-08-sweden-v-ukraine/team/11858-sweden/player/65170-hellvig-hanna	Hawaii Rainbow Wahine volleyball
W-2026-325	Q138865675	ncaa	Ellie Holzman	2000-12-01	25	United States	Instagram:ellieholzman;X:ellieholzman;TikTok:ellie_and_lucas;YouTube:UCC1dQJf-8gMjLjIkTfWRjlw	-	https://women.volleybox.net/ellie-holzman-p29188	Illinois Fighting Illini women's volleyball
W-2026-326	Q107510659	ncaa	Candelaria Herrera	1999-01-28	27	United States	Instagram:candeherrera2;X:candelariah17;TikTok:candelariaherrer3;Facebook:candeherrer	-	https://women.volleybox.net/candelaria-herrera-p6571/clubs	Iowa State Cyclones women's volleyball
W-2026-327	Q136304094	ncaa	Caroline Crawford	2002-03-05	24	United States	Instagram:caroline.crawford	Volleybox	-	Kansas Jayhawks women's volleyball;Wisconsin Badgers women's volleyball
W-2026-328	Q114018805	ncaa	Alli Linnehan	1999-09-16	26	United States	Instagram:allistumler;X:astumler	Volleybox	-	Kentucky Wildcats women's volleyball
W-2026-329	Q136297535	ncaa	Azhani Tealer	2001-01-06	25	United States	Instagram:azhanitealer	Volleybox	-	Kentucky Wildcats women's volleyball
W-2026-330	Q135117255	ncaa	Emma Grome	2002-09-20	23	United States	Instagram:emmagrome;X:EmmaGrome	VBL database;Volleybox	https://www.dscvolley.de/dscvolleys-verpflichten-us-amerikanerin-emma-grome/	Kentucky Wildcats women's volleyball
W-2026-331	Q139694062	ncaa	Anita Anwusi	2001-06-11	25	United States	Instagram:ninianwusi	Volleybox	-	LSU Tigers women's volleyball
W-2026-332	Q136324550	ncaa	Lydia Martyn	2002-08-19	24	United States	Instagram:lydia.martyn	Volleybox	-	Liberty Lady Flames volleyball;Oklahoma Sooners women's volleyball
W-2026-333	Q131543193	ncaa	Elena Scott	2003-07-01	23	United States	Instagram:elenaascott;TikTok:elenaascott	Volleybox;FIVB database	https://gocards.com/sports/womens-volleyball/roster/elena-scott/15185	Louisville Cardinals women's volleyball
W-2026-334	Q127691921	ncaa	Anastasija Svetnik	2002-04-12	24	United States	Instagram:anastasija_svetnik	Volleybox	https://osubeavers.com/sports/womens-volleyball/roster/anastasija-svetnik/8286;https://gomarquette.com/sports/womens-volleyball/roster/anastasija-svetnik/7325	Marquette Golden Eagles women's volleyball;Oregon State Beavers women's volleyball
W-2026-335	Q139482752	ncaa	Lydia Montague	2001-01-31	25	United States	Instagram:lyd_montague	Volleybox;FIVB database	https://herdzone.com/sports/womens-volleyball/roster/lydia-montague/7578	Marshall Thundering Herd women's volleyball;Snow Badgers women's volleyball
W-2026-336	Q140374300	ncaa	Celia Cullen	2002-03-04	24	United States	Instagram:celia.cullen	Volleybox	-	Michigan State Spartans women's volleyball;SMU Mustangs women's volleyball
W-2026-337	Q135234293	ncaa	Amelia Van Der Werff	2002-03-11	24	United States	Instagram:a.vanderwerff;X:A_vanderwerff;TikTok:amelia_vanderwerff	VBL database;Volleybox;FIVB database	https://slovakvolley.sk/players/8722;https://goblueraiders.com/sports/womens-volleyball/roster/amelia--van-der-werff/7899;https://www.dscvolley.de/dscvolleys-begruesst-neuzugang-amelia-van-der-werff/	Middle Tennessee Blue Raiders women's volleyball;Utah Utes women's volleyball
W-2026-338	Q139619655	ncaa	Lourdès Myers	2002-01-29	24	United States	Instagram:lourdesmyerss	Volleybox	-	Minnesota Golden Gophers women's volleyball;Purdue Boilermakers women's volleyball
W-2026-339	Q139710703	ncaa	Taylor Landfair	2001-11-12	24	United States	Instagram:taylor_landfair49;TikTok:taylor.landfair	Volleybox	-	Minnesota Golden Gophers women's volleyball;Nebraska Cornhuskers women's volleyball
W-2026-340	Q140372945	ncaa	Kaylee Cox	2002-11-19	23	United States	Instagram:kaylee.cox;X:kayleecox88	Volleybox	https://wkusports.com/sports/womens-volleyball/roster/kaylee-cox/5301	Missouri Tigers women's volleyball;Western Kentucky Lady Toppers volleyball
W-2026-341	Q114729954	ncaa	Leketor Member-Meneh	1999-06-01	27	United States	Instagram:leketorofficial	Volleybox	https://mutigers.com/sports/womens-volleyball/roster/leketor-member-meneh/7473	Missouri Tigers women's volleyball;Pittsburgh Panthers women's volleyball
W-2026-342	Q139036727	ncaa	Michaela Páneková	2003-10-25	22	United States	Instagram:_panekova.michaela_;TikTok:michaela.panekova	Beach Volleyball Database;Volleybox;FIVB database	-	Morgan State Lady Bears volleyball;Sam Houston Bearkats women's beach volleyball;Sam Houston Bearkats women's volleyball
W-2026-343	Q125420926	ncaa	Laney Choboy	2005-01-06	21	United States	Instagram:laneychoboy	Volleybox	-	Nebraska Cornhuskers women's volleyball
W-2026-344	Q119570579	ncaa	Maggie Mendelson	2005-04-22	21	United States	Instagram:maggie44mendelson	Volleybox	-	Nebraska Cornhuskers women's volleyball;Penn State Nittany Lions women's volleyball
W-2026-345	Q139410612	ncaa	Lia Mosher	1999-11-19	26	United States	Instagram:lia_the_lobster	Volleybox	-	New Mexico State Aggies women's volleyball
W-2026-346	Q140372412	ncaa	Caroline Meuth	2001-01-23	25	United States	Instagram:caroline_meuth.16;X:sweet_carol016	Volleybox;FIVB database	-	Notre Dame Fighting Irish women's volleyball;Texas A&M Aggies women's volleyball
W-2026-347	Q139710478	ncaa	Emoni Bush	2003-07-04	23	United States	Instagram:emonibushh	Volleybox	-	Oklahoma Sooners women's volleyball;Washington Huskies women's volleyball
W-2026-348	Q139732064	ncaa	Karson Bacon	2000-04-10	26	United States	Instagram:karson_kanani	Volleybox	-	Oregon Ducks women's volleyball
W-2026-349	Q115869636	ncaa	Nathalie Scholz	2002-10-13	23	United States	Instagram:volley.nat; nathalie.s02	VBL database	-	Oregon State Beavers women's volleyball;Saint Leo Lions women's volleyball
W-2026-350	Q139732120	ncaa	Kaitlyn Hord	2000-06-14	26	United States	Instagram:kait_hord	Volleybox	-	Penn State Nittany Lions women's volleyball
W-2026-351	Q135049370	ncaa	Chiamaka Nwokolo	2000-11-08	25	United States	Instagram:chiamakaaa__;X:chiamakaaa__	Volleybox	-	Pittsburgh Panthers women's volleyball
W-2026-352	Q139666200	ncaa	Raven Colvin	2003-06-24	23	United States	Instagram:rae.colvin	Volleybox	-	Purdue Boilermakers women's volleyball
W-2026-353	Q125880425	ncaa	Grace Frohling	2001-04-16	25	United States	Instagram:gracefrohling	VBL database;Volleybox	https://www.dscvolley.de/grace-frohling-verstaerkt-den-diagonalangriff-beim-dsc-volleyball/	San Diego Toreros women's volleyball
W-2026-354	Q125875368	ncaa	Caitie Baird	2001-02-01	25	United States	Instagram:caitiebaird;X:caitiebaird_	Volleybox;FIVB database	-	Stanford Cardinal women's volleyball
W-2026-355	Q106714928	ncaa	Mira Ledermüller	2004-02-14	22	United States	Instagram:miraledermueller	VBL database;Volleybox;FIVB database	-	Syracuse Orange women's volleyball;UT Arlington Mavericks women's volleyball
W-2026-356	Q136303859	ncaa	Nina Čajić	2001-08-28	25	United States	Instagram:cajicc.n;YouTube:UCrUKdtCebGehMqjvJuu_0Rg	Volleybox	-	Tennessee Lady Volunteers volleyball;Towson Tigers women's volleyball
W-2026-357	Q135472110	ncaa	Madolyn Isringhausen	2002-08-04	24	United States	Instagram:maddieisringhausen	Volleybox	https://www.ttusports.com/sports/wvball/2024-25/bios/isringhausen_madolyn_7km8	Tennessee Tech Golden Eagles women's volleyball
W-2026-358	Q139502705	ncaa	Virginia Van Der Werff	2005-11-11	20	United States	Instagram:v.vanderwerff	Volleybox	https://goislanders.com/sports/womens-volleyball/roster/virginia-van-der-werff/5459	Texas A&M-Corpus Christi Islanders women's volleyball
W-2026-359	Q113532625	ncaa	Anastasija Ivkovic	2005-02-03	21	United States	Instagram:ivkoviccanastasija;TikTok:ivkoviccanastasija	-	https://women.volleybox.net/anastasija-ivkovic-p55652/clubs	UCLA Bruins women's volleyball
W-2026-360	Q126487356	ncaa	Magdaléna Jehlářová	2000-01-16	26	United States	Instagram:m_jehlarova	Volleybox	-	Washington State Cougars women's volleyball
W-2026-361	Q125882053	ncaa	Pia Timmer	2001-05-30	25	United States	Instagram:piatimmer7777	VBL database;Volleybox;FIVB database	https://wsucougars.com/sports/womens-volleyball/roster/pia-timmer/12600	Washington State Cougars women's volleyball
W-2026-362	Q139085744	ncaa	Klára Bobáňová	2005-09-06	21	United States	Instagram:klarabobanova	FIVB database;Volleybox	-	West Alabama Tigers women's volleyball
W-2026-363	Q124637231	ncaa	Sophia Fallah	2004-11-23	21	United States	Instagram:sophiafallah_	VBL database;FIVB database	https://sportinternat-muenster.de/user/221	West Virginia Mountaineers women's volleyball
W-2026-364	Q136325284	ncaa	Isabella Ashburn	2000-11-11	25	United States	Instagram:izzyashburn	Volleybox	-	Wisconsin Badgers women's volleyball
W-2026-365	Q136303767	ncaa	Carly Skjodt	1997-06-21	29	United States	Instagram:carlyskjodt	Beach Volleyball Database;Volleybox	-	Michigan Wolverines women's volleyball;Indy Ignite;Orlando Valkyries
W-2026-366	Q138989347	ncaa	Michalina Rola	2000-02-28	26	United States	Instagram:michalina.rola	Volleybox	-	California Baptist Lancers;Miami Hurricanes;San Francisco Dons
W-2026-367	Q124666645	beach	Yeva Serdiuk	2003-01-01	23	UNKNOWN	Instagram:_evvsa_	-	-	-
W-2026-368	Q139072338	beach	Paulína Košíková	2002-12-04	23	Slovakia	Instagram:__kosikova	Volleybox	-	-
W-2026-369	Q109232107	beach	Valentina Gottardi	2002-11-19	23	Italy	Instagram:valentinagottardi_;Facebook:Valentina-Gottardi-100071217667526	-	-	-
W-2026-370	Q137576841	beach	Viktoria Dörschug	2002-10-29	23	Germany	Instagram:vikidrh	VBL database;Volleybox	-	-
W-2026-371	Q80587492	beach	María González	2002-05-26	24	United States	Instagram:mariagonzalezz._	-	http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=158155	-
W-2026-372	Q106625770	beach	Aliza Baumgart	2002-04-22	24	Germany	Instagram:_alschi_	VBL database;Volleybox	-	-
W-2026-373	Q80585221	beach	Tania Moreno	2002-01-29	24	Spain	Instagram:t_matveeva2;X:t_matveeva2;Facebook:tania.morenomatveeva	-	http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=153243	-
W-2026-374	Q80587490	beach	Allanis Navas	2002-01-04	24	United States	Instagram:allanis.navas;X:allanisnavas4;Facebook:allanis.navas	-	http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=161681	-
W-2026-375	Q65161736	beach	Daniela Álvarez Mendoza	2001-11-27	24	Spain	Instagram:danielaxalvarez;Facebook:daniela.alvarezmendoza.14	-	http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=162812	-
W-2026-376	Q99510689	beach	Frida Berntsen	2001-10-16	24	Norway	Instagram:frida_berntsen;Facebook:frida.berntsen.5	Beach Volleyball Database;WorldofVolley;Olympedia;Volleybox;FIVB database	-	-
W-2026-377	Q111460851	beach	Mikala Mogensen	2001-10-03	24	Denmark	Instagram:mikalamogensen	-	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=777721426	-
W-2026-378	Q96886055	beach	Rugile Lavickyte	2001-07-10	25	Norway	Instagram:rugile.lavickyte	Volleybox	https://www.ladies-in-black.de/team/rugile-lavickyte/	-
W-2026-379	Q104836815	beach	Hanna-Marie Schieder	2001-03-21	25	Germany	Instagram:marieschieder	Beach Volleyball Database	-	-
W-2026-380	Q80699175	beach	Nicole Alessandra Nogales	2001-03-08	25	Bolivia	Instagram:nicole.nogales	-	http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=161859	-
W-2026-381	Q65162200	beach	Svenja Müller	2001-02-13	25	Germany	Instagram:svenjamueller01;TikTok:svenjamueller01	-	https://www.fivb.com/en/beachvolleyball/beachplayersdatabase/153267	-
W-2026-382	Q65562249	beach	Emilie Olimstad	2000-12-12	25	Norway	Instagram:olimstademilie	-	https://www.cev.eu/PlayerDetail.aspx?PlayerID=60726	-
W-2026-383	Q123686053	beach	Clémence Vieira	2000-11-01	25	France	Instagram:clemencevieira;X:ClemeVieira	-	-	-
W-2026-384	Q124450005	beach	Giuliana Poletti	2000-09-30	25	UNKNOWN	Instagram:giulipolettic	-	-	-
W-2026-385	Q117747786	beach	Ainė Raupelytė	2000-07-28	26	Lithuania	Instagram:aineraupelyte;Facebook:aine.raupelyte	-	-	-
W-2026-386	Q56218339	beach	Linda Bock	2000-05-27	26	Germany	Instagram:lnda_bck	Beach Volleyball Database;VBL database	-	-
W-2026-387	Q98271305	beach	Claudia Scampoli	2000-04-05	26	Italy	Instagram:claudiascampoli	Beach Volleyball Database	-	-
W-2026-388	Q112580517	beach	Leonie Amann	2000-04-02	26	Germany	Instagram:leonieamann	-	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=750493393&hideHistoryBackButton=true	-
W-2026-389	Q137719782	beach	Josefin Bluhm	2000-03-10	26	Germany	Instagram:fine.bluhm	VBL database;Volleybox;FIVB database	-	-
W-2026-390	Q85871654	beach	Esmée Böbner	1999-11-03	26	Switzerland	Instagram:esmeeboebner	-	http://www.bvbinfo.com/player.asp?ID=16241	-
W-2026-391	Q65162179	beach	Sarah Schulz	1999-08-19	27	Germany	Instagram:sarahh_schulz	Beach Volleyball Database	-	-
W-2026-392	Q138455853	beach	Ema Palkovičová	1999-08-16	27	Slovakia	Instagram:_emapalko	Volleybox;FIVB database	-	-
W-2026-393	Q67801076	beach	Renate Bjerland	1999-06-11	27	Norway	Instagram:renatebjerland	-	https://www.cev.eu/PlayerDetail.aspx?PlayerID=60716	-
W-2026-394	Q112970230	beach	Marie-Sára Štochlová	1999-03-11	27	Czech Republic	Instagram:hvezdazarici	Beach Volleyball Database	-	-
W-2026-395	Q113335589	beach	Reka Orsi Toth	1999-02-12	27	Italy	Instagram:rekaorsitoth;Facebook:reka.orsitoth	-	-	-
W-2026-396	Q105201345	beach	Katja Stam	1998-10-03	27	Netherlands	Instagram:katjastam	-	http://www.bvbinfo.com/player.asp?ID=16917	-
W-2026-397	Q139473637	beach	Elísabet Einarsdóttir	1998-09-19	27	Iceland	Instagram:elisabeteinars98	Beach Volleyball Database;Volleybox;FIVB database	-	-
W-2026-398	Q13617306	beach	Michelle Valiente	1998-05-07	28	UNKNOWN	Instagram:miuvaliente	-	http://www.bvbinfo.com/player.asp?ID=14290	-
W-2026-399	Q26207577	beach	Nada Meawad	1998-04-12	28	Egypt	Instagram:nadameawad4;Facebook:nadameawadpage	Beach Volleyball Database	-	-
W-2026-400	Q85879035	beach	Zoé Vergé-Dépré	1998-02-23	28	Switzerland	Instagram:zoe.vergedepre	-	https://www.fivb.com/en/beachvolleyball/beachplayersdatabase/152865-zoc3a9-vergc3a9-dc3a9prc3a9	-
W-2026-401	Q47542138	beach	Kertu Laak	1998-02-21	28	Estonia	Instagram:ketshhh	Biographical lexicon of Estonian sport	-	-
W-2026-402	Q110420339	beach	Lézana Placette	1997-12-11	28	France	Instagram:lezanana	-	-	-
W-2026-403	Q136418733	beach	Sophie Nestler	1997-12-03	28	Germany	Instagram:sophie.nstlr	VBL database;Volleybox	-	-
W-2026-404	Q107113677	beach	Jacqueline Quade	1997-12-01	28	United States	Instagram:jacqueline_quade	VBL database;Volleybox	https://www.dresdnersportclub.de/news/verein/item/6264-jacqueline-quade-kommt-fuer-den-dsc-aussenangriff	-
W-2026-405	Q26131650	beach	Megan McNamara	1997-08-01	29	Canada	Instagram:meganmcnamara	-	http://www.bvbinfo.com/player.asp?ID=14209	-
W-2026-406	Q26131765	beach	Nicole McNamara	1997-08-01	29	Canada	Instagram:nicolemcnamara	-	http://www.bvbinfo.com/player.asp?ID=14208	-
W-2026-407	Q35564990	beach	Niina Ahtiainen	1997-04-11	29	Finland	Instagram:niiinajohanna	-	http://www.bvbinfo.com/player.asp?ID=14008	-
W-2026-408	Q105296741	beach	Amanda Harnett	1997-03-13	29	Canada	Instagram:amandaharnett	-	https://olympic.ca/team-canada/amanda-harnett/	-
W-2026-409	Q17413110	beach	Sabina Altynbekova	1996-11-05	29	Kazakhstan	Instagram:altynbekova_20	-	-	-
W-2026-410	Q34336795	beach	Erika Mongelos	1996-10-18	29	Paraguay	Instagram:erikamongelos	-	http://www.bvbinfo.com/player.asp?ID=15076	-
W-2026-411	Q18697706	beach	Lee Da-yeong	1996-10-15	29	South Korea	Instagram:leeeee_ou	-	-	-
W-2026-412	Q65034789	beach	Selin Yurtsever	1996-08-27	30	Turkey	X:selinyurtsever	-	https://www.turksporu.com.tr/sporcu-detay/selin-yurtsever-1419	-
W-2026-413	Q110420637	beach	Alexia Richard	1996-04-03	30	France	Instagram:alexia_rchd	-	-	-
W-2026-414	Q110411248	beach	Aline Chamereau	1996-03-06	30	France	Instagram:aline__cham;TikTok:alinechamereau;Facebook:aline.chamereau	-	http://www.bvbinfo.com/player.asp?ID=14682	-
W-2026-415	Q110271542	beach	Nadzeya Stoliar	1996-01-11	30	Belarus	Instagram:nadzeya_stoliar;Facebook:nadzeya.stoliar	-	https://women.volleybox.net/nadzeya-stoliar-p6346/clubs	-
W-2026-416	Q139488302	intl	Lujza Katriaková	2007-08-22	19	Slovakia	Instagram:_katriakova_	Volleybox	-	-
W-2026-417	Q139504429	intl	Emilia Schaarschmidt	2007-03-30	19	Germany	Instagram:emilia_srdt	VBL database;FIVB database;Volleybox	-	-
W-2026-418	Q139393569	intl	Michaela Kánová	2007-03-08	19	Slovakia	Instagram:m.kanova	Volleybox;FIVB database	-	-
W-2026-419	Q139480149	intl	Sofia Libáková	2007-02-09	19	Slovakia	Instagram:_libakova__	Volleybox;FIVB database	-	-
W-2026-420	Q133248999	intl	Marie Steinhilber	2007-01-19	19	Germany	Instagram:marie.steinhilber	-	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=777721428	-
W-2026-421	Q135219627	intl	Dora Brašnić	2006-11-24	19	Bosnia and Herzegovina	Instagram:dorabrasnic	-	https://women.volleybox.net/dora-brasnic-p76705/clubs	-
W-2026-422	Q135902916	intl	Melisa Sazalan	2006-09-29	19	Turkey	Instagram:melisasazalan	-	-	-
W-2026-423	Q112664003	intl	Teresa Ziegenbalg	2006-09-13	19	Germany	Instagram:terry.zbg	VBL database;FIVB database	https://www.dscvolley.de/teresa-ziegenbalg-rueckt-aus-dem-vc-olympia-dresden-in-den-bundesliga-kader-der-dscvolleys-auf/	-
W-2026-424	Q131782635	intl	Miku Akimoto	2006-08-18	20	Japan	Instagram:miku_akmt818	VBL database;Volleybox	https://www.dscvolley.de/japanisches-top-talent-miku-akimoto-fuer-die-dscvolleys/	-
W-2026-425	Q126478907	intl	Lara-Marie Schaefer	2006-05-06	20	Germany	Instagram:lara._schaefer	VBL database;Volleybox;FIVB database	https://sportinternat-muenster.de/user/239	-
W-2026-426	Q139108647	intl	Karolína Cibulová	2006-03-22	20	Slovakia	Instagram:kaja_cibula	Volleybox;FIVB database	https://slovakvolley.sk/players/2221	-
W-2026-427	Q139473616	intl	Helena Einarsdóttir	2006-03-10	20	Iceland	Instagram:helenaeinarsd	Volleybox;FIVB database	-	-
W-2026-428	Q135219956	intl	Laura Kesar	2006-02-16	20	Croatia	Instagram:laura__kes	-	https://women.volleybox.net/laura-kesar-p71181/clubs	-
W-2026-429	Q133249311	intl	Miina Inoue	2006-01-22	20	Japan	Instagram:miena__0122;X:miena_0122	-	-	-
W-2026-430	Q139503391	intl	Leana Zuvic	2006-01-05	20	Switzerland	Instagram:leana.zuvic	-	https://women.volleybox.net/de/leana-zuvic-p111886	-
W-2026-431	Q124325594	intl	Shaghayegh Hasankhani	2006-01-01	20	Iran	Instagram:hasankhani.7	-	-	-
W-2026-432	Q117455756	intl	Mobina Sadat Ghafarian	2005-12-28	20	Iran	Instagram:mobinaghafarian15	-	https://women.volleybox.net/mobina-sadat-ghafarian-anbarani-p97694/clubs	-
W-2026-433	Q129368653	intl	Maeva Schalk	2005-12-14	20	France	Instagram:maevaschalk;TikTok:maevaschalk	-	https://www.lequipe.fr/Volley-ball/UniverselFicheJoueur183786.html	-
W-2026-434	Q106766446	intl	Janne Uhl	2005-11-22	20	Germany	Instagram:janne.uhl	-	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=744942857&hideHistoryBackButton=true	-
W-2026-435	Q109486743	intl	Victoria Demidova	2005-11-09	20	Russia	Instagram:longbabydoll	VBL database	-	-
W-2026-436	Q139088250	intl	Nikola Furdová	2005-10-10	20	Slovakia	Instagram:nikolafurdova	Volleybox	-	-
W-2026-437	Q116586897	intl	Dilay Özdemir	2005-08-15	21	Turkey	Instagram:dilayozdmr	-	-	-
W-2026-438	Q135219224	intl	Katarina Drobac	2005-07-31	21	Croatia	Instagram:katarinadrobac	-	https://women.volleybox.net/katarina-drobac-p56295/clubs	-
W-2026-439	Q125147947	intl	Mette Pfeffer	2005-07-12	21	Germany	Instagram:mette.pfeffer	VBL database;Volleybox;InterSportStats	-	-
W-2026-440	Q139323432	intl	Karolína Bahnová	2005-06-30	21	Slovakia	Instagram:k_bahnova	Volleybox	-	-
W-2026-441	Q139399495	intl	Nela Žiačíková	2005-06-17	21	Slovakia	Instagram:nelaziacik	Volleybox	https://slovakvolley.sk/players/1585	-
W-2026-442	Q139393275	intl	Marína Siládiová	2005-04-29	21	Slovakia	Instagram:m_siladiova	Volleybox;Slovak Olympic Committee database;FIVB database	-	-
W-2026-443	Q118677569	intl	Mehrana Shabgard	2005-04-10	21	Iran	Instagram:meh_rana11	-	https://women.volleybox.net/mehrana-shabgard-p146802	-
W-2026-444	Q139410750	intl	Karolína Matalíková	2005-02-19	21	Slovakia	Instagram:karolina_matalikova	Slovak Olympic Committee database;FIVB database;Volleybox	-	-
W-2026-445	Q139410861	intl	Justína Matalíková	2005-02-19	21	Slovakia	Instagram:j_mtlkv	Volleybox	https://slovakvolley.sk/players/5666	-
