Q11536025|Mina Kuryu|UNKNOWN|REVIEW|AGE_PARTIAL+scope-ambiguous|ja-wiki lead: 「栗生 みな（くりゅう みな、8月16日 - ）は、長野県出身の女優、歌手である。」 - JP stage actress and singer (Nagano); the lead gives only the month and day of birth (no year) and documents no modeling activity; Wikidata year unconfirmed on the page|https://ja.wikipedia.org/wiki/%E6%A0%97%E7%94%9F%E3%81%BF%E3%81%AA
Q11548328|Yuka Mizuhara|1994-10-10|PROMOTE|Modeling/TV|ja-wiki lead: 「水原 佑果（みずはら ゆか、1994年〈平成6年〉10月10日 - ）は、主に日本で活躍する女性ファッションモデル・タレント。」 - US-citizen fashion model and tarento active mainly in Japan (legal name Ashley Yuka Daniel per lead); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B0%B4%E5%8E%9F%E4%BD%91%E6%9E%9C
Q11548833|Ari Mizusawa|1990-09-03|REVIEW|scope-ambiguous|ja-wiki lead: 「水沢 アリー（みずさわ アリー、1990年9月3日 - ）は、日本の女性タレント、実業家。」 - JP tarento and businesswoman (Tokyo); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B0%B4%E6%B2%A2%E3%82%A2%E3%83%AA%E3%83%BC
Q11549347|Saaya Mizuno|1989-10-12|PROMOTE|Modeling/music|ja-wiki lead: 「水野 佐彩（みずの さあや、1989年10月12日 - ）は、日本の元女性読者モデル、歌手。」 - JP former reader model and singer (Rikkyo University graduate); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B0%B4%E9%87%8E%E4%BD%90%E5%BD%A9
Q11549855|Rina Nagai|1992-10-19|REVIEW|scope-ambiguous|ja-wiki lead: 「永井 里菜（ながい りな、1992年10月19日 - ）は、日本の政治家。」 - JP politician, former Saitama city councillor; the lead documents politics only; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B0%B8%E4%BA%95%E9%87%8C%E8%8F%9C
Q11549863|Mao Nagai|1991-10-19|PROMOTE|Modeling/TV/music|ja-wiki lead: 「永井 麻央（ながい まお、1991年10月19日 - ）は、青森県出身のモデル・タレント・歌手である。」 - JP model, tarento and singer active in Japan and Korea (Aomori); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B0%B8%E4%BA%95%E9%BA%BB%E5%A4%AE
Q11550028|Mami Nagaoka|1989-08-16|PROMOTE|Gravure modeling/swimwear/acting|ja-wiki lead: 「永岡 真実（ながおか まみ、1989年8月16日 - ）は、日本の元女優、グラビアアイドル、モデル。」 - JP former actress, gravure idol and model (Chiba); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B0%B8%E5%B2%A1%E7%9C%9F%E5%AE%9F
Q11550153|Natsuko Nagaike|1985-08-03|PROMOTE|Modeling/acting|ja-wiki lead: 「永池 南津子（ながいけ なつこ、1985年8月3日 - ）は、日本の女優、モデル。」 - JP actress and model, freelance since 2025 per lead; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B0%B8%E6%B1%A0%E5%8D%97%E6%B4%A5%E5%AD%90
Q11551373|Manami Enosawa|1996-11-01|PROMOTE|Modeling/acting/TV|ja-wiki lead: 「江野沢 愛美（えのさわ まなみ、1996年〈平成8年〉11月1日 - ）は、日本の女性ファッションモデル、女優、タレントであり、『non-no』、『Seventeen』（以上、集英社）、『ピチレモン』（学研プラス）の元専属モデル。」 - JP fashion model, actress and tarento, former exclusive model for non-no, Seventeen and Pichi Lemon; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B1%9F%E9%87%8E%E6%B2%A2%E6%84%9B%E7%BE%8E
Q11551988|Sayo Ikeda|1988-05-13|PROMOTE|Modeling|ja-wiki lead: 「池田 沙代（いけだ さよ、1988年5月13日 - ）は、日本の女性モデル。」 - JP model, nickname SAYOPI; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B1%A0%E7%94%B0%E6%B2%99%E4%BB%A3
Q11551989|Saemi Ikeda|1991-01-23|PROMOTE|Modeling|ja-wiki lead: 「池田 沙絵美（いけだ さえみ、1991年1月23日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Kagoshima); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B1%A0%E7%94%B0%E6%B2%99%E7%B5%B5%E7%BE%8E
Q11552128|Yuko Ikeda|1987-05-06|PROMOTE|Modeling/music/acting|ja-wiki lead: 「池田 裕子（いけだ ゆうこ、1987年5月6日 - ）は、日本のモデル、アイドル、女優。」 - JP model, idol and actress (Yokohama); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B1%A0%E7%94%B0%E8%A3%95%E5%AD%90
Q11552222|Reina Ikehata|1987-11-05|REVIEW|scope-ambiguous|ja-wiki lead: 「池端 レイナ（いけはた れいな、1987年11月5日 - ）は、日本の女優。」 - JP actress (Kushiro, Hokkaido); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B1%A0%E7%AB%AF%E3%83%AC%E3%82%A4%E3%83%8A
Q11552519|Juria Oki|1986-01-05|PROMOTE|Modeling/fashion design|ja-wiki lead: 「沖 樹莉亜（おき じゅりあ、1986年1月5日 - ）は、日本のファッションモデル、デザイナー。」 - JP fashion model and designer (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B2%96%E6%A8%B9%E8%8E%89%E4%BA%9C
Q115529388|Kana Yamaguchi|1998-04-16|PROMOTE|Modeling/TV|ja-wiki lead: 「山口 佳南（やまぐち かな、1998年4月16日 - ）は、日本のモデル、タレント。」 - JP model and tarento (Himi, Toyama); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E5%B1%B1%E5%8F%A3%E4%BD%B3%E5%8D%97
Q115529608|Arisa Nagasaka|1998-03-10|PROMOTE|Modeling/race queen|ja-wiki lead: 「長坂 有紗（ながさか ありさ・1998年〈平成10年〉3月10日 - ）は、日本のモデル、レースクィーンである。」 - JP model and race queen (Hyogo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%95%B7%E5%9D%82%E6%9C%89%E7%B4%97
Q115529785|Kisaki Terashima|2006-09-20|PROMOTE|Modeling/acting|ja-wiki lead: 「寺島 季咲（てらしま きさき、2006年9月20日 - ）は、日本のモデル、女優。」 - JP model and actress; adult (age nineteen on the check date); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E5%AF%BA%E5%B3%B6%E5%AD%A3%E5%92%B2
Q115530086|Risa Watanabe (渡辺リサ)|2002-03-01|PROMOTE|Modeling/Creator/influencer|ja-wiki lead: 「渡辺 リサ （わたなべ リサ、2002年〈平成14年〉3月1日 - ）は、日本のファッションモデル、インフルエンサー。」 - JP fashion model and influencer (Hiroshima); distinct from the review-queue idol Risa Watanabe (a different woman, Sakurazaka46) - katakana added to the display name to disambiguate; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E3%83%AA%E3%82%B5
Q11553116|Ayaka Sawai|1986-10-14|PROMOTE|Gravure modeling/swimwear/acting/TV|ja-wiki lead: 「沢井 彩華（さわい あやか、1986年10月14日2時頃生まれ。芸名の彩華は本名でもある。）は、日本の女優、タレント、グラビアアイドル。」 - JP actress, tarento and gravure idol (Kobe; Excel Human Agency); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B2%A2%E4%BA%95%E5%BD%A9%E8%8F%AF
Q11553888|Sayaka Kawamura|1985-05-04|REVIEW|scope-ambiguous|ja-wiki lead: 「河村 さやか（かわむら さやか、1985年〈昭和60年〉5月4日 - ）は、日本のキャスター。」 - JP newscaster (Aichi); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B2%B3%E6%9D%91%E3%81%95%E3%82%84%E3%81%8B
Q11554682|Haru Izumi|1996-07-17|PROMOTE|Modeling/acting|ja-wiki lead: 「泉 はる（いずみ はる、1996年7月17日 - ）は、日本の女性ファッションモデル、女優である。」 - JP fashion model and actress (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B3%89%E3%81%AF%E3%82%8B
Q11557112|Kazuha Asaki|1986-09-01|PROMOTE|Modeling/TV|ja-wiki lead: 「浅木 一華（あさき かずは、1986年9月1日 - ）は日本の女性ファッションモデル、タレント。」 - JP fashion model and tarento (Asia Promotion); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B5%85%E6%9C%A8%E4%B8%80%E8%8F%AF
Q11557177|Miho Asada|1989-06-02|PROMOTE|Modeling/TV/music|ja-wiki lead: 「浅田 美穂（あさだ みほ、1989年6月2日 - ）は、日本のファッションモデル、タレント、歌手。」 - JP fashion model, tarento and singer (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B5%85%E7%94%B0%E7%BE%8E%E7%A9%82
Q11557988|Yuri Hamada|1991-05-04|PROMOTE|Gravure modeling/swimwear/music|ja-wiki lead: 「浜田 由梨（はまだ ゆり、1991年5月4日 - ）は、日本の元グラビアアイドル、歌手。」 - JP former gravure idol and singer; gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B5%9C%E7%94%B0%E7%94%B1%E6%A2%A8
Q11558284|Alisa Urahama|1990-05-07|PROMOTE|Modeling/acting|ja-wiki lead: 「浦浜 アリサ（うらはま アリサ、1990年〈平成2年〉5月7日 - ）は、日本の女性ファッションモデル、女優。」 - JP fashion model and actress (former stage name 浦浜亜理沙); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B5%A6%E6%B5%9C%E3%82%A2%E3%83%AA%E3%82%B5
Q11558750|Emily Kaiho|UNKNOWN|REVIEW|DOB_CONFLICT|ja-wiki lead: 「海保 エミリ（かいほ エミリ、英: Emily Kaiho、1983年8月19日 - ）は、日本の歌手、ラッパー、ダンサー、ファッションモデル、女優。」 - JP singer, rapper, dancer, fashion model and actress (Hawaii-raised); the ja-wiki lead gives a birth year three years earlier than the Wikidata value (same month and day) - trusted sources conflict, no value chosen; both values are adult|https://ja.wikipedia.org/wiki/%E6%B5%B7%E4%BF%9D%E3%82%A8%E3%83%9F%E3%83%AA
Q11560089|Akari Fukasawa|1998-06-20|REVIEW|scope-ambiguous|ja-wiki lead: 「深沢 あかり（ふかさわ あかり、1998年6月20日 - ）は、日本の元ファッションモデル。」 - JP former fashion model (former stage name 深沢明莉); all listed occupations are former and the lead documents no current public activity, so current creator status and handle currency cannot be confirmed from the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B7%B1%E6%B2%A2%E3%81%82%E3%81%8B%E3%82%8A
Q11560557|Yumi Seimiya|1985-01-24|PROMOTE|Modeling/TV|ja-wiki lead: 「清宮 佑美（せいみや ゆうみ、1985年1月24日 - ）は、日本の女性ファッションモデル、タレント。」 - JP fashion model and tarento (Sakura, Chiba); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%85%E5%AE%AE%E4%BD%91%E7%BE%8E
Q11561027|Sayaka Shimizu|1991-07-12|PROMOTE|Modeling/music|ja-wiki lead: 「清水 沙也佳（しみず　さやか、1991年7月12日 - ）は、日本のモデル、歌手。」 - JP model and singer (Kyoto); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%85%E6%B0%B4%E6%B2%99%E4%B9%9F%E4%BD%B3
Q11561628|Iyo Shibusawa|1989-03-10|PROMOTE|Gravure modeling/swimwear/TV/business|ja-wiki lead: 「渋沢 一葉（しぶさわ いよ、1989年 (平成元年) 3月10日 - ）は、日本のタレント、グラビアアイドル、実業家、プロデューサー。」 - JP tarento, gravure idol, businesswoman and producer (CEO of ENTAME GIG); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%8B%E6%B2%A2%E4%B8%80%E8%91%89
Q11561806|Ayaka Fuchigami|1986-07-25|PROMOTE|Modeling/TV/acting|ja-wiki lead: 「渕上 彩夏（ふちがみ あやか、1986年7月25日 - ）は、日本のタレント、女優、モデルである。」 - JP tarento, actress and model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%95%E4%B8%8A%E5%BD%A9%E5%A4%8F
Q11561981|Keaki Watanabe|1992-08-28|PROMOTE|Modeling/sports|ja-wiki lead: 「渡辺 けあき（わたなべ けあき、1992年8月28日 - ）は、日本のプロボウラー、声優、元モデル、元タレント、元女優。」 - JP professional bowler and voice actress, former model, tarento and actress (JPBA licence holder); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E3%81%91%E3%81%82%E3%81%8D
Q11562009|Arisa Watanabe|1992-06-23|PROMOTE|Modeling|ja-wiki lead: 「渡辺アリサ（わたなべ ありさ、1992年6月23日 - ）は、日本のモデル。」 - JP model (Fukuoka); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E3%82%A2%E3%83%AA%E3%82%B5
Q11562300|Saori Watanabe|1988-01-19|PROMOTE|Modeling/TV/acting|ja-wiki lead: 「渡辺 早織（わたなべ さおり、1988年1月19日 - ）は、日本の女性タレント、モデル、女優、リポーター。」 - JP tarento, model, actress and reporter (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E6%97%A9%E7%B9%94
Q11562326|Miyu Watanabe|1991-02-22|PROMOTE|Gravure modeling/swimwear/TV|ja-wiki lead: 「渡辺 未優（わたなべ みゆ、1991年2月22日 - ）は、岩手県出身のモデル、タレント。」 - JP model and tarento, former gravure idol (Iwate); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E6%9C%AA%E5%84%AA
Q11562513|Mai Watanabe|1989-01-25|PROMOTE|Modeling/TV/acting|ja-wiki lead: 「渡辺 舞（わたなべ まい、1989年1月25日 - ）は、日本のモデル、タレント、女優である。」 - JP model, tarento and actress; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E8%88%9E
Q11562718|Rio Watanabe|2000-03-08|REVIEW|scope-ambiguous|ja-wiki lead: 「渡邊 璃生（わたなべ りお、2000年〈平成12年〉3月8日 - ）は、日本の元アイドル、元タレント、元小説家。」 - JP former idol, former tarento and former novelist (Kanagawa); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B8%A1%E9%82%8A%E7%92%83%E7%94%9F
Q11562742|Mizuki Watanabe|1988-04-30|REVIEW|scope-ambiguous|ja-wiki lead: 「渡部 瑞貴（わたなべ みずき、1988年4月30日 - ）は、日本の女優。」 - JP actress (Office Yumin); Wikidata label 渡部みずき, article 渡部瑞貴; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%B8%A1%E9%83%A8%E7%91%9E%E8%B2%B4
Q11563553|Mai Yukawa|1990-07-16|PROMOTE|Modeling/TV|ja-wiki lead: 「湯川 舞（ゆかわ まい、1990年7月16日 - ）は、神奈川県出身のモデル、タレント、パチンコライター。」 - JP model, tarento and pachinko writer (Kanagawa); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%B9%AF%E5%B7%9D%E8%88%9E
Q11564060|Tomoe Genzaki|1990-11-19|PROMOTE|Modeling/acting|ja-wiki lead: 「源崎 トモエ（げんざき ともえ、1990年11月19日 - ）は、東京都出身の女性ファッションモデル、女優である。」 - JP fashion model and actress (Tokyo; Horipro-affiliated agency Booth); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%BA%90%E5%B4%8E%E3%83%88%E3%83%A2%E3%82%A8
Q11564455|Megumi Mizoguchi|1994-07-08|PROMOTE|Modeling/acting|ja-wiki lead: 「溝口 恵（みぞぐち めぐみ、1994年7月8日 - ）は、日本の女性ファッションモデル、女優。」 - JP fashion model and actress (formerly Ito Company); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%BA%9D%E5%8F%A3%E6%81%B5
Q11564490|Seran Mizorogi|1997-04-22|REVIEW|scope-ambiguous|ja-wiki lead: 「溝呂木 世蘭（みぞろぎ せらん、1997年4月22日 - ）は、日本の女性アイドル、タレント、女優。」 - JP idol, tarento and actress, former TiiiMO / Tiiigirl member; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%BA%9D%E5%91%82%E6%9C%A8%E4%B8%96%E8%98%AD
Q11566521|Saori Seto|1988-01-02|REVIEW|scope-ambiguous|ja-wiki lead: 「瀬戸 サオリ（せと サオリ、（1988年1月2日 - ）は、日本の女性。タレント。以前の芸名は安藤 徠愛羽（あんどう くれは）。」 - JP tarento (Fukuoka; former stage name 安藤徠愛羽); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%80%AC%E6%88%B8%E3%82%B5%E3%82%AA%E3%83%AA
Q11566688|Mayu Seto|UNKNOWN|REVIEW|DOB_CONFLICT|ja-wiki lead: 「瀬戸 麻楡（せと まゆ、1989年7月23日 - ）は、東京都出身のグラビアアイドル、イベントコンパニオン、釣りガール。」 - JP gravure idol, event companion and angling personality (Tokyo); the ja-wiki lead gives a birth year four years later than the Wikidata value (same month and day) - trusted sources conflict, no value chosen; both values are adult|https://ja.wikipedia.org/wiki/%E7%80%AC%E6%88%B8%E9%BA%BB%E6%A5%A1
Q11568651|Eriko Kumazawa|1985-11-15|PROMOTE|Modeling|ja-wiki lead: 「熊澤 枝里子（くまざわ えりこ、1985年11月15日 - ）は、日本のファッションモデル。」 - JP fashion model (Hyogo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%86%8A%E6%BE%A4%E6%9E%9D%E9%87%8C%E5%AD%90
Q11575163|Konatsu Tanaka|1988-09-16|PROMOTE|Modeling/acting/TV|ja-wiki lead: 「田中 こなつ（たなか こなつ、1988年9月16日 - ）は、日本の女優、タレント、ファッションモデル。」 - JP actress, tarento and fashion model (Sun Music); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%AD%E3%81%93%E3%81%AA%E3%81%A4
Q11575329|Rin Tanaka|1996-01-06|PROMOTE|Modeling/acting|ja-wiki lead: 「田中 凛（たなか りん、1996年1月6日 - ）は、日本の女優・ファッションモデル。」 - JP actress and fashion model (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%AD%E5%87%9B
Q11576314|Otoha Taguchi|2002-05-15|PROMOTE|Modeling/acting|ja-wiki lead: 「田口 乙葉（たぐち おとは、2002年5月15日 - ）は、日本の女性ファッションモデル・女優（元子役）である。」 - JP fashion model and actress, former child actress (ABP inc.); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%B0%E5%8F%A3%E4%B9%99%E8%91%89
Q115766646|Miki Yagi|2006-12-11|REVIEW|scope-ambiguous|ja-wiki lead: 「八木 美樹（やぎ みき、2006年〈平成18年〉12月11日 - ）は、日本の女優で、女性アイドルグループ・さくら学院の元メンバー。」 - JP actress, former Sakura Gakuin member (Osaka); adult (age nineteen on the check date); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E5%85%AB%E6%9C%A8%E7%BE%8E%E6%A8%B9
Q11577063|Tomoko Tamogami|1986-05-22|PROMOTE|Modeling/writing|ja-wiki lead: 「田母神 智子（たもがみ ともこ、1986年5月22日 - ）は、日本の女性ファッションモデル、コラムニスト。」 - JP fashion model and columnist; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%B0%E6%AF%8D%E7%A5%9E%E6%99%BA%E5%AD%90
Q11577327|Misaki Tanabe|1990-08-15|PROMOTE|Modeling|ja-wiki lead: 「田辺 岬（たなべ みさき、1990年8月15日 - ）は、日本のモデルである。」 - JP model (Niigata); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%B0%E8%BE%BA%E5%B2%AC
Q11577355|Momoko Tanabe|1999-08-21|PROMOTE|Modeling/acting|ja-wiki lead: 「田辺 桃子（たなべ ももこ、1999年〈平成11年〉8月21日 - ）は、日本の俳優、ファッションモデル。」 - JP actor and fashion model (Kanagawa); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%B0%E8%BE%BA%E6%A1%83%E5%AD%90
Q11578315|Arisa Machida|1996-01-10|PROMOTE|Gravure modeling/swimwear|ja-wiki lead: 「町田 有沙（まちだ ありさ、1996年1月10日 - ）は日本のグラビアアイドル。」 - JP gravure idol; gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%94%BA%E7%94%B0%E6%9C%89%E6%B2%99
